"training_index","electronic_style_loss","optical_style_loss","electronic_content_loss","optical_content_loss"
"1.0","9233.100554","6583.710452","96.618408","94.992487"
"2.0","1760.472865","1806.522569","91.620135","94.308054"
"3.0","2120.860109","1278.382020","88.984555","100.162413"
"4.0","1656.799031","1129.829104","91.274176","103.019670"
"5.0","2144.556323","634.724779","89.640322","104.117242"
"6.0","1252.123647","2895.109393","92.589966","103.297600"
"7.0","724.715321","1240.446015","92.872711","101.656831"
"8.0","594.461001","660.212095","94.791867","103.956998"
"9.0","567.018626","2655.187480","94.492586","104.576627"
"10.0","1477.767537","766.220075","97.171007","104.419858"
"11.0","636.894463","518.003981","96.598924","104.126208"
"12.0","397.004412","411.001093","97.307448","104.860607"
"13.0","308.895729","620.801552","97.699463","104.360139"
"14.0","378.902597","313.291018","98.334372","105.369784"
"15.0","297.540242","478.329106","97.621777","104.163993"
"16.0","309.825214","416.026493","98.180380","104.522075"
"17.0","155.777021","332.943162","96.660476","105.002125"
"18.0","2945.449341","241.576904","97.557984","105.669148"
"19.0","471.984262","243.425303","98.972348","105.265642"
"20.0","1043.226822","224.503604","98.574368","105.402977"
"21.0","696.730651","134.832718","97.212634","104.767805"
"22.0","362.881872","102.499946","98.262926","103.873029"
"23.0","271.735244","166.731215","97.673926","104.663966"
"24.0","221.301380","140.374048","97.746751","103.051894"
"25.0","437.815604","107.113368","99.219443","101.944358"
"26.0","318.750036","202.595481","98.656580","102.402700"
"27.0","245.683117","149.812770","99.170816","101.378692"
"28.0","154.353222","96.199657","98.089860","101.011620"
"29.0","256.029701","165.398292","98.524346","100.774458"
"30.0","123.356951","132.216108","96.350133","100.225326"
"31.0","145.586442","81.741777","96.316132","99.083255"
"32.0","159.644859","64.386959","95.859783","97.702530"
"33.0","148.944521","91.507167","94.804031","97.140359"
"34.0","99.641956","69.376252","93.548085","96.045882"
"35.0","181.652214","114.842791","95.392816","96.982099"
"36.0","134.271307","76.290516","93.665191","95.911574"
"37.0","85.191859","72.427018","92.695379","94.375100"
"38.0","126.612569","109.674410","92.445451","94.365036"
"39.0","95.859934","55.305159","91.518478","94.469424"
"40.0","187.553154","74.227154","91.265158","93.450116"
"41.0","142.930350","45.306546","94.035374","91.582875"
"42.0","72.485028","66.377209","90.841699","91.379021"
"43.0","65.537639","66.097223","89.491896","91.057638"
"44.0","93.066238","44.432545","89.827241","89.528997"
"45.0","63.271290","61.215846","88.027420","89.678917"
"46.0","103.359208","94.630733","88.977434","91.681498"
"47.0","60.020107","43.835151","87.339215","89.586466"
"48.0","91.784185","66.976929","87.043920","88.426555"
"49.0","54.376895","56.693237","85.782582","90.750726"
"50.0","102.965953","62.142337","88.065690","88.597541"
"51.0","50.213432","39.261756","84.924665","87.282920"
"52.0","49.154150","37.298040","83.751024","86.041511"
"53.0","92.198950","55.208425","85.691232","85.706786"
"54.0","47.131830","59.782747","83.449891","88.218149"
"55.0","90.655646","36.910117","84.889028","85.755826"
"56.0","50.795664","35.566755","83.674504","84.163332"
"57.0","44.101643","55.213614","82.307734","86.099809"
"58.0","66.180022","34.485398","83.490241","84.505557"
"59.0","44.071815","43.878459","81.930757","84.258996"
"60.0","88.934034","34.729829","83.215850","83.084690"
"61.0","43.407698","49.375127","82.363999","83.750978"
"62.0","39.963382","32.305395","80.446000","82.650363"
"63.0","42.010607","45.333670","79.835071","82.945188"
"64.0","66.712932","32.141420","82.050865","81.425940"
"65.0","38.844176","53.383900","79.307244","82.913023"
"66.0","40.031674","32.478321","78.970225","81.861775"
"67.0","72.570523","31.842129","80.934747","81.028978"
"68.0","37.152435","35.911728","78.659219","80.839184"
"69.0","37.764010","45.984413","78.151654","81.771463"
"70.0","62.748201","31.287050","79.908300","79.929124"
"71.0","35.431053","29.465928","77.752426","79.263287"
"72.0","35.410117","48.210274","77.004513","80.840595"
"73.0","36.002544","29.906448","76.820072","79.870189"
"74.0","53.735095","28.977838","78.092037","79.065818"
"75.0","33.627872","39.267367","76.362972","78.757789"
"76.0","37.267228","30.627861","76.206853","78.686090"
"77.0","52.360111","28.959832","77.300418","78.311333"
"78.0","33.418974","61.714406","75.221211","78.518690"
"79.0","33.626139","37.794008","75.452637","82.604907"
"80.0","55.152454","28.545095","76.402464","78.938084"
"81.0","34.422398","27.148936","75.664091","78.164424"
"82.0","31.591398","27.055756","74.537717","77.770130"
"83.0","31.487447","27.246055","74.569637","77.496792"
"84.0","31.879001","35.141780","73.735875","77.914866"
"85.0","65.985013","27.441532","74.992862","77.416817"
"86.0","38.318676","26.721915","75.888799","76.658207"
"87.0","30.048660","27.788846","73.708423","76.370125"
"88.0","30.697581","44.744149","73.547581","77.977924"
"89.0","31.003546","26.731934","73.019470","76.730725"
"90.0","44.052070","26.416985","74.165226","76.135522"
"91.0","29.268457","25.626299","73.147056","75.882919"
"92.0","29.429171","25.860618","72.693128","75.949918"
"93.0","29.144990","25.800131","72.703079","75.739828"
"94.0","37.147273","32.857800","73.265551","76.120853"
"95.0","28.699827","25.629590","72.448414","75.438157"
"96.0","28.768652","25.552804","71.766423","74.642217"
"97.0","29.204935","25.649738","71.665110","75.234364"
"98.0","38.017848","38.589736","72.422391","75.319416"
"99.0","28.262175","27.731981","71.451631","75.661708"
"100.0","28.810633","24.614860","71.230568","74.825907"
"101.0","27.823238","24.082373","71.287363","74.149462"
"102.0","27.565434","24.466695","70.543776","73.645957"
"103.0","45.883705","24.447394","71.869857","74.427548"
"104.0","27.852670","24.372226","70.940521","73.749296"
"105.0","26.853960","28.821345","70.792817","74.503578"
"106.0","26.754205","23.957141","70.507268","73.890533"
"107.0","27.305609","24.537511","70.137813","73.577621"
"108.0","26.999444","24.067918","70.111325","73.171380"
"109.0","28.235177","30.143953","69.905083","74.031784"
"110.0","34.878122","24.372035","70.979872","73.579271"
"111.0","26.089627","23.216715","69.571972","72.612264"
"112.0","26.005441","23.084083","69.623891","72.675108"
"113.0","26.674198","23.449475","69.565882","72.947895"
"114.0","26.146106","23.255462","69.570516","73.086190"
"115.0","31.974192","27.490782","69.247988","72.989830"
"116.0","28.011715","23.735745","69.843465","73.438889"
"117.0","25.191660","23.176121","69.022830","72.258449"
"118.0","25.638811","23.327153","68.996255","72.824457"
"119.0","26.474627","22.773677","69.114331","72.079043"
"120.0","25.558310","23.191455","68.804765","72.213239"
"121.0","25.116790","26.292305","68.736658","72.881648"
"122.0","25.407769","22.557951","68.591566","72.265854"
"123.0","37.576280","22.501930","69.487242","71.639516"
"124.0","25.113774","22.572832","68.385046","72.004498"
"125.0","24.500423","22.301700","68.287931","71.984815"
"126.0","25.009677","22.437019","68.368713","71.949243"
"127.0","24.525924","31.283485","67.885806","72.559805"
"128.0","25.011928","22.211937","68.238836","71.763093"
"129.0","24.444792","22.178338","67.754013","71.391276"
"130.0","24.574688","22.283342","68.207672","71.733921"
"131.0","24.000980","21.839988","67.762095","71.123902"
"132.0","26.136914","21.961051","67.723374","71.305959"
