"logged_index","clock_time","total_loss","content_loss","style_loss","tv_loss","reconstruction_loss","learning_rate_after_index","source_line"
"1.0","00:29:30","6681.389719","94.992487","6583.710452","2.686890","0.024446","","1"
"2.0","00:34:10","1902.607028","94.308054","1806.522569","1.776411","0.008599","","2"
"3.0","00:38:51","1380.744174","100.162413","1278.382020","2.199741","0.004604","","3"
"4.0","00:43:31","1235.642562","103.019670","1129.829104","2.793792","0.004838","","4"
"5.0","00:48:15","741.547495","104.117242","634.724779","2.705471","0.002775","","5"
"6.0","00:52:57","3001.223955","103.297600","2895.109393","2.816951","0.013210","","6"
"7.0","00:57:37","1344.537356","101.656831","1240.446015","2.434510","0.007487","","7"
"8.0","01:02:18","766.519987","103.956998","660.212095","2.350896","0.003991","","8"
"9.0","01:06:59","2763.177013","104.576627","2655.187480","3.412874","0.012082","","9"
"10.0","01:11:39","873.219410","104.419858","766.220075","2.579477","0.005325","0.0008","10"
"11.0","01:16:20","624.645448","104.126208","518.003981","2.515258","0.002980","","12"
"12.0","01:21:01","518.396179","104.860607","411.001093","2.534480","0.002519","","13"
"13.0","01:25:43","728.224311","104.360139","620.801552","3.062620","0.003524","","14"
"14.0","01:30:23","421.512312","105.369784","313.291018","2.851508","0.002162","","15"
"15.0","01:35:03","585.739405","104.163993","478.329106","3.246304","0.002692","","16"
"16.0","01:39:43","523.938586","104.522075","416.026493","3.390018","0.004069","","17"
"17.0","01:44:28","441.255385","105.002125","332.943162","3.310099","0.002849","","18"
"18.0","01:49:12","350.530067","105.669148","241.576904","3.284016","0.002380","","19"
"19.0","01:53:52","352.015915","105.265642","243.425303","3.324970","0.002450","","20"
"20.0","01:58:37","333.551012","105.402977","224.503604","3.644432","0.002395","0.0006400000000000002","21"
"21.0","02:03:17","243.064249","104.767805","134.832718","3.463726","0.001853","","23"
"22.0","02:07:58","209.721535","103.873029","102.499946","3.348560","0.001674","","24"
"23.0","02:12:42","275.033882","104.663966","166.731215","3.638701","0.002193","","25"
"24.0","02:17:23","247.059578","103.051894","140.374048","3.633637","0.002143","","26"
"25.0","02:22:05","212.540712","101.944358","107.113368","3.482986","0.001851","","27"
"26.0","02:26:47","308.884692","102.402700","202.595481","3.886511","0.003131","","28"
"27.0","02:31:28","254.852225","101.378692","149.812770","3.660763","0.002500","","29"
"28.0","02:36:09","200.782018","101.011620","96.199657","3.570741","0.001785","","30"
"29.0","02:40:50","269.806148","100.774458","165.398292","3.633397","0.002676","","31"
"30.0","02:45:33","235.880126","100.225326","132.216108","3.438692","0.002156","0.0005120000000000001","32"
"31.0","02:50:15","184.098392","99.083255","81.741777","3.273359","0.001518","","34"
"32.0","02:54:56","165.315511","97.702530","64.386959","3.226023","0.001412","","35"
"33.0","02:59:39","191.952712","97.140359","91.507167","3.305186","0.001719","","36"
"34.0","03:04:20","168.639371","96.045882","69.376252","3.217237","0.001523","","37"
"35.0","03:08:58","215.206093","96.982099","114.842791","3.381203","0.002499","","38"
"36.0","03:13:38","175.505376","95.911574","76.290516","3.303286","0.001534","","39"
"37.0","03:18:17","170.037998","94.375100","72.427018","3.235880","0.001504","","40"
"38.0","03:23:00","207.307059","94.365036","109.674410","3.267613","0.001985","","41"
"39.0","03:27:41","152.853770","94.469424","55.305159","3.079187","0.001345","","42"
"40.0","03:32:24","170.769563","93.450116","74.227154","3.092292","0.001451","0.0004096000000000001","43"
"41.0","03:37:06","139.832838","91.582875","45.306546","2.943418","0.001184","","45"
"42.0","03:41:49","160.775703","91.379021","66.377209","3.019474","0.001322","","46"
"43.0","03:46:31","160.154715","91.057638","66.097223","2.999854","0.001433","","47"
"44.0","03:51:15","136.816009","89.528997","44.432545","2.854466","0.001167","","48"
"45.0","03:55:55","153.865216","89.678917","61.215846","2.970453","0.001338","","49"
"46.0","04:00:38","189.316352","91.681498","94.630733","3.004122","0.001719","","50"
"47.0","04:05:17","136.264596","89.586466","43.835151","2.842979","0.001123","","51"
"48.0","04:09:59","158.218010","88.426555","66.976929","2.814526","0.001257","","52"
"49.0","04:14:38","150.295398","90.750726","56.693237","2.851436","0.001219","","53"
"50.0","04:19:19","153.572763","88.597541","62.142337","2.832885","0.001282","0.0003276800000000001","54"
"51.0","04:24:00","129.278227","87.282920","39.261756","2.733551","0.001030","","56"
"52.0","04:28:43","126.022516","86.041511","37.298040","2.682965","0.001007","","57"
"53.0","04:33:27","143.607353","85.706786","55.208425","2.692142","0.001106","","58"
"54.0","04:38:09","150.841949","88.218149","59.782747","2.841053","0.001330","","59"
"55.0","04:42:50","125.347033","85.755826","36.910117","2.681090","0.000989","","60"
"56.0","04:47:27","122.362556","84.163332","35.566755","2.632468","0.000985","","61"
"57.0","04:52:05","144.078261","86.099809","55.213614","2.764837","0.001184","","62"
"58.0","04:56:44","121.624073","84.505557","34.485398","2.633118","0.000955","","63"
"59.0","05:01:25","130.799932","84.258996","43.878459","2.662477","0.001067","","64"
"60.0","05:06:07","120.403040","83.084690","34.729829","2.588521","0.000978","0.0002621440000000001","65"
"61.0","05:10:49","135.772989","83.750978","49.375127","2.646884","0.001050","","67"
"62.0","05:15:32","117.536856","82.650363","32.305395","2.581097","0.000922","","68"
"63.0","05:20:15","130.918810","82.945188","45.333670","2.639952","0.001021","","69"
"64.0","05:24:56","116.148065","81.425940","32.141420","2.580705","0.000904","","70"
"65.0","05:29:39","138.916848","82.913023","53.383900","2.619925","0.001102","","71"
"66.0","05:34:19","116.899589","81.861775","32.478321","2.559493","0.000894","","72"
"67.0","05:39:02","115.397830","81.028978","31.842129","2.526723","0.000872","","73"
"68.0","05:43:39","119.280918","80.839184","35.911728","2.530005","0.000906","","74"
"69.0","05:48:19","130.339908","81.771463","45.984413","2.584032","0.000999","","75"
"70.0","05:53:02","113.722791","79.929124","31.287050","2.506617","0.000865","0.0002097152000000001","76"
"71.0","05:57:45","111.216281","79.263287","29.465928","2.487066","0.000847","","78"
"72.0","06:02:25","131.614354","80.840595","48.210274","2.563486","0.000992","","79"
"73.0","06:07:08","112.280685","79.870189","29.906448","2.504048","0.000834","","80"
"74.0","06:11:51","110.518021","79.065818","28.977838","2.474364","0.000812","","81"
"75.0","06:16:33","120.526294","78.757789","39.267367","2.501139","0.000902","","82"
"76.0","06:21:18","111.807077","78.686090","30.627861","2.493126","0.000855","","83"
"77.0","06:25:57","109.735650","78.311333","28.959832","2.464485","0.000812","","84"
"78.0","06:30:44","142.740531","78.518690","61.714406","2.507434","0.000968","","85"
"79.0","06:35:25","122.928731","82.604907","37.794008","2.529816","0.000886","","86"
"80.0","06:40:06","109.946142","78.938084","28.545095","2.462964","0.000786","0.0001677721600000001","87"
"81.0","06:44:48","107.760259","78.164424","27.148936","2.446900","0.000753","","89"
"82.0","06:49:32","107.266162","77.770130","27.055756","2.440277","0.000779","","90"
"83.0","06:54:17","107.176314","77.496792","27.246055","2.433467","0.000743","","91"
"84.0","06:58:57","115.521137","77.914866","35.141780","2.464490","0.000781","","92"
"85.0","07:03:39","107.293424","77.416817","27.441532","2.435074","0.000757","","93"
"86.0","07:08:22","105.801258","76.658207","26.721915","2.421135","0.000754","","94"
"87.0","07:13:04","106.570284","76.370125","27.788846","2.411314","0.000756","","95"
"88.0","07:17:47","125.186265","77.977924","44.744149","2.464192","0.000862","","96"
"89.0","07:22:28","105.894934","76.730725","26.731934","2.432275","0.000725","","97"
"90.0","07:27:08","104.959019","76.135522","26.416985","2.406512","0.000726","0.00013421772800000008","98"
"91.0","07:31:49","103.915520","75.882919","25.626299","2.406302","0.000690","","100"
"92.0","07:36:32","104.210090","75.949918","25.860618","2.399554","0.000701","","101"
"93.0","07:41:12","103.930154","75.739828","25.800131","2.390195","0.000717","","102"
"94.0","07:45:53","111.405953","76.120853","32.857800","2.427300","0.000760","","103"
"95.0","07:50:34","103.466724","75.438157","25.629590","2.398976","0.000695","","104"
"96.0","07:55:13","102.582140","74.642217","25.552804","2.387118","0.000702","","105"
"97.0","07:59:54","103.271665","75.234364","25.649738","2.387563","0.000687","","106"
"98.0","08:04:33","116.317405","75.319416","38.589736","2.408254","0.000750","","107"
"99.0","08:09:15","105.798370","75.661708","27.731981","2.404682","0.000702","","108"
"100.0","08:13:56","101.828487","74.825907","24.614860","2.387720","0.000674","0.00010737418240000006","109"
"101.0","08:18:38","100.609904","74.149462","24.082373","2.378068","0.000680","","111"
"102.0","08:23:23","100.485520","73.645957","24.466695","2.372868","0.000680","","112"
"103.0","08:28:07","101.246226","74.427548","24.447394","2.371284","0.000667","","113"
"104.0","08:32:49","100.493346","73.749296","24.372226","2.371825","0.000684","","114"
"105.0","08:37:29","105.712538","74.503578","28.821345","2.387615","0.000676","","115"
"106.0","08:42:10","100.218986","73.890533","23.957141","2.371313","0.000670","","116"
"107.0","08:46:50","100.480451","73.577621","24.537511","2.365318","0.000661","","117"
"108.0","08:51:28","99.598849","73.171380","24.067918","2.359551","0.000668","","118"
"109.0","08:56:10","106.556379","74.031784","30.143953","2.380642","0.000680","","119"
"110.0","09:00:52","100.322321","73.579271","24.372035","2.371015","0.000669","8.589934592000005e-05","120"
"111.0","09:05:35","98.183241","72.612264","23.216715","2.354262","0.000669","","122"
"112.0","09:10:17","98.118394","72.675108","23.084083","2.359202","0.000646","","123"
"113.0","09:14:59","98.754000","72.947895","23.449475","2.356630","0.000648","","124"
"114.0","09:19:42","98.691744","73.086190","23.255462","2.350092","0.000635","","125"
"115.0","09:24:22","102.845557","72.989830","27.490782","2.364944","0.000656","","126"
"116.0","09:29:04","99.530641","73.438889","23.735745","2.356008","0.000638","","127"
"117.0","09:33:48","97.783239","72.258449","23.176121","2.348669","0.000643","","128"
"118.0","09:38:29","98.501005","72.824457","23.327153","2.349395","0.000645","","129"
"119.0","09:43:10","97.201462","72.079043","22.773677","2.348742","0.000629","","130"
"120.0","09:47:53","97.746093","72.213239","23.191455","2.341400","0.000650","6.871947673600005e-05","131"
"121.0","09:52:35","101.532419","72.881648","26.292305","2.358465","0.000645","","133"
"122.0","09:57:16","97.169158","72.265854","22.557951","2.345353","0.000623","","134"
"123.0","10:01:55","96.480753","71.639516","22.501930","2.339306","0.000632","","135"
"124.0","10:06:38","96.919266","72.004498","22.572832","2.341936","0.000623","","136"
"125.0","10:11:20","96.629046","71.984815","22.301700","2.342530","0.000619","","137"
"126.0","10:16:00","96.719972","71.949243","22.437019","2.333710","0.000630","","138"
